CODIGO,DESCRICAO_CID
G328,Outros transtornos degenerativos especificados do sistema nervoso em doenças classificadas em outra parte
G35,Esclerose múltipla
G360,Neuromielite óptica [doença de Devic]
G400,Epilepsia e síndromes epilépticas idiopáticas definidas por sua localização (focal) (parcial) com crises de início focal
G401,Epilepsia e síndromes epilépticas sintomáticas definidas por sua localização (focal) (parcial) com crises parciais simples
G402,Epilepsia e síndromes epilépticas sintomáticas definidas por sua localização (focal) (parcial) com crises parciais complexas
G404,Outras epilepsias e síndromes epilépticas generalizadas
G405,Síndromes epilépticas especiais
G406,"Crise de grande mal, não especificada (com ou sem pequeno mal)"
G408,Outras epilepsias
G409,"Epilepsia, não especificada"
G418,Outros estados de mal epiléptico
G419,"Estado de mal epiléptico, não especificado"
G432,Estado de mal enxaquecoso
G433,Enxaqueca complicada
G439,"Enxaqueca, sem especificação"
G441,"Cefaléia vascular, não classificada em outra parte"
G448,Outras síndromes de cefaléia especificadas
G450,Síndrome da artéria vértebro-basilar
G451,Síndrome da artéria carotídea (hemisférica)
G458,Outros acidentes isquêmicos cerebrais transitórios e síndromes correlatas
G459,Isquemia cerebral transitória não especificada
G468,Outras síndromes vasculares cerebrais em doenças cerebrovasculares
G470,Distúrbios do início e da manutenção do sono [insônias]
G473,Apnéia de sono
G478,Outros distúrbios do sono
G479,"Distúrbio do sono, não especificado"
G500,Nevralgia do trigêmeo
G509,Transtorno não especificado do nervo trigêmeo
G510,Paralisia de Bell
G518,Outros transtornos do nervo facial
G540,Transtornos do plexo braquial
G550,Compressões das raízes e dos plexos nervosos em doenças neoplásicas
G560,Síndrome do túnel do carpo
G589,Mononeuropatia não especificada
G610,Síndrome de Guillain-Barré
G618,Outras polineuropatias inflamatórias
G619,Polineuropatia inflamatória não especificada
G628,Outras polineuropatias especificadas
G636,Polineuropatia em outros transtornos osteomusculares
G638,Polineuropatia em outras doenças classificadas em outra parte
G700,Miastenia gravis
G710,Distrofia muscular
G712,Miopatias congênitas
G724,Miopatia inflamatória não classificada em outra parte
G800,Paralisia cerebral quadriplágica espástica
G801,Paralisia cerebral diplégica espástica
G804,Paralisia cerebral atáxica
G808,Outras formas de paralisia cerebral
G809,Paralisia cerebral não especificada
G811,Hemiplegia espástica
G819,Hemiplegia não especificada
G820,Paraplegia flácida
G821,Paraplegia espástica
G824,Tetraplegia espástica
G825,Tetraplegia não especificada
G910,Hidrocefalia comunicante
G911,Hidrocefalia obstrutiva
G912,Hidrocefalia de pressão normal
G913,Hidrocefalia pós-traumática não especificada
G918,Outras formas de hidrocefalia
G919,Hidrocefalia não especificada
G92,Encefalopatia tóxica
G932,Hipertensão intracraniana benigna
G934,Encefalopatia não especificada
G935,Compressão do encéfalo
G936,Edema cerebral
G941,Hidrocefalia em doenças neoplásicas
G952,Compressão não especificada de medula espinal
G960,Fístula liquórica
G978,Outros transtornos pós-procedimento do sistema nervoso
G979,"Transtorno pós-procedimento do sistema nervoso, não especificado"
H001,Calázio
H020,Entrópio e triquíase da pálpebra
H021,Ectrópio da pálpebra
H023,Blefarocalásia
H024,Ptose da pálpebra
H025,Outros transtornos que afetam a função da pálpebra
H026,Xantelasma da pálpebra
H028,Outros transtornos especificados das pálpebras
H029,Transtorno não especificado da pálpebra
H044,Inflamação crônica dos canais lacrimais
H045,Estenose e insuficiência dos canais lacrimais
H048,Outros transtornos do aparelho lacrimal
H050,Inflamação aguda da órbita
H058,Outros transtornos da órbita
H062,Exoftalmo distireoídeo
H119,Transtorno não especificado da conjuntiva
H158,Outros transtornos da esclerótica
H160,Úlcera de córnea
H170,Leucoma aderente
H171,Outra opacidade central da córnea
H180,Pigmentações e depósitos da córnea
H181,Ceratopatia bolhosa
H186,Ceratocone
H187,Outras deformidades da córnea
H188,Outros transtornos especificados da córnea
H189,Transtorno não especificado da córnea
H218,Outros transtornos especificados da íris e do corpo ciliar
H228,Outros transtornos da íris e do corpo ciliar em doenças classificadas em outra parte
H250,Catarata senil incipiente
H251,Catarata senil nuclear
H252,Catarata senil tipo Morgagni
H258,Outras cataratas senis
H259,Catarata senil não especificada
H260,"Catarata infantil, juvenil e pré-senil"
H262,Catarata complicada
H264,Pós-catarata
H268,Outras cataratas especificadas
H269,Catarata não especificada
H270,Afacia
H278,Outros transtornos especificados do cristalino
H330,Descolamento da retina com defeito retiniano
H332,Descolamento seroso da retina
H333,Defeitos da retina sem descolamento
H334,Descolamento da retina por tração
H335,Outros descolamentos da retina
H353,Degeneração da mácula e do pólo posterior
H360,Retinopatia diabética
H401,Glaucoma primário de ângulo aberto
H402,Glaucoma primário de ângulo fechado
H408,Outro glaucoma
H409,Glaucoma não especificado
H430,Prolapso do humor vítreo
H431,Hemorragia do humor vítreo
H433,Outras opacidades do vítreo
H438,Outros transtornos do humor vítreo
H440,Endoftalmite purulenta
H441,Outras endoftalmites
H445,Afecções degenerativas do globo ocular
H448,Outros transtornos do globo ocular
H449,Transtorno não especificado do globo ocular
H46,Neurite óptica
H500,Estrabismo convergente concomitante
H501,Estrabismo divergente concomitante
H502,Estrabismo vertical
H504,Outras heterotropias e as não especificadas
H505,Heteroforia
H508,Outros estrabismos especificados
H509,Estrabismo não especificado
H522,Astigmatismo
H579,Transtorno não especificado do olho e anexos
H590,Ceropatia (bolhosa afácica) subseqüente a cirurgia de catarata
H611,Transtornos não-infecciosos do pavilhão da orelha
H650,Otite média aguda serosa
H652,Otite média serosa crônica
H660,Otite média aguda supurativa
H669,Otite média não especificada
H700,Mastoidite aguda
H701,Mastoidite crônica
H708,Outras mastoidites e afecções relacionadas com a mastoidite
H720,Perfuração central da membrana do tímpano
H728,Outras perfurações da membrana do tímpano
H729,Perfuração não especificada da membrana do tímpano
H739,Transtorno não especificado da membrana do tímpano
H748,Outros transtornos especificados do ouvido médio e da mastóide
H838,Outros transtornos especificados do ouvido interno
H900,Perda de audição bilateral devida a transtorno de condução
H903,Perda de audição bilateral neuro-sensorial
H919,Perda não especificada de audição
I011,Endocardite reumática aguda
I050,Estenose mitral
I051,Insuficiência mitral reumática
I052,Estenose mitral com insuficiência
I058,Outras doenças da valva mitral
I060,Estenose aórtica reumática
I080,Transtornos de valvas mitral e aórtica
I083,"Transtornos das valvas mitral, aórtica e tricúspide"
I10,Hipertensão essencial (primária)
I110,Doença cardíaca hipertensiva com insuficiência cardíaca (congestiva)
I119,Doença cardíaca hipertensiva sem insuficiência cardíaca (congestiva)
I120,Doença renal hipertensiva com insuficiência renal
I158,Outras formas de hipertensão secundária
I159,"Hipertensão secundária, não especificada"
I200,Angina instável
I208,Outras formas de angina pectoris
I209,"Angina pectoris, não especificada"
I210,Infarto agudo transmural da parede anterior do miocárdio
I211,Infarto agudo transmural da parede inferior do miocárdio
I212,Infarto agudo transmural do miocárdio de outras localizações
I213,"Infarto agudo transmural do miocárdio, de localização não especificada"
I214,Infarto agudo subendocárdico do miocárdio
I219,Infarto agudo do miocárdio não especificado
I220,Infarto do miocárdio recorrente da parede anterior
I228,Infarto do miocárdio recorrente de outras localizações
I229,Infarto do miocárdio recorrente de localização não especificada
I238,Outras complicações atuais subseqüentes ao infarto agudo do miocárdio
I240,Trombose coronária que não resulta em infarto do miocárdio
I248,Outras formas de doença isquêmica aguda do coração
I249,Doença isquêmica aguda do coração não especificada
I250,"Doença cardiovascular aterosclerótica, descrita desta maneira"
I251,Doença aterosclerótica do coração
I252,Infarto antigo do miocárdio
I253,Aneurisma cardíaco
I255,Miocardiopatia isquêmica
I258,Outras formas de doença isquêmica crônica do coração
I259,Doença isquêmica crônica do coração não especificada
I260,Embolia pulmonar com menção de cor pulmonale agudo
I269,Embolia pulmonar sem menção de cor pulmonale agudo
I270,Hipertensão pulmonar primária
I313,Derrame pericárdico (não-inflamatório)
I330,Endocardite infecciosa aguda e subaguda
I339,Endocardite aguda não especificada
I340,Insuficiência (da valva) mitral
I341,Prolapso (da valva) mitral
I350,Estenose (da valva) aórtica
I351,Insuficiência (da valva) aórtica
I352,Estenose (da valva) aórtica com insuficiência
I370,Estenose da valva pulmonar
I420,Cardiomiopatia dilatada
I421,Cardiomiopatia obstrutiva hipertrófica
I422,Outras cardiomiopatias hipertróficas
I428,Outras cardiomiopatias
I429,Cardiomiopatia não especificada
I440,Bloqueio atrioventricular de primeiro grau
I441,Bloqueio atrioventricular de segundo grau
I442,Bloqueio atrioventricular total
I443,Outras formas de bloqueio atrioventricular e as não especificadas
I456,Síndrome de pré-excitação
I458,Outros transtornos especificados da condução
I460,Parada cardíaca com ressuscitação bem sucedida
I461,"Morte súbita (de origem) cardíaca, descrita desta forma"
I469,Parada cardíaca não especificada
I470,Arritmia ventricular por reentrada
I471,Taquicardia supraventricular
I472,Taquicardia ventricular
I479,Taquicardia paroxística não especificada
I48,Flutter e fibrilação atrial
I490,Flutter e fibrilação ventricular
I495,Síndrome do nó sinusal
I498,Outras arritmias cardíacas especificadas
I499,Arritmia cardíaca não especificada
I500,Insuficiência cardíaca congestiva
I501,Insuficiência ventricular esquerda
I509,Insuficiência cardíaca não especificada
I516,Doença cardiovascular não especificada
I517,Cardiomegalia
I600,Hemorragia subaracnóide proveniente do sifão e da bifurcação da carótida
I602,Hemorragia subaracnóide proveniente da artéria comunicante anterior
I606,Hemorragia subaracnóide proveniente de outras artérias intracranianas
I607,Hemorragia subaracnóide proveniente de artéria intracraniana não especificada
I608,Outras hemorragias subaracnóides
I609,Hemorragia subaracnóide não especificada
I610,Hemorragia intracerebral hemisférica subcortical
I611,Hemorragia intracerebral hemisférica cortical
I615,Hemorragia intracerebral intraventricular
I618,Outras hemorragias intracerebrais
I619,Hemorragia intracerebral não especificada
I620,Hemorragia subdural (aguda) (não-traumática)
I629,Hemorragia intracraniana (não-traumática) não especificada
I630,Infarto cerebral devido a trombose de artérias pré-cerebrais
I632,Infarto cerebral devido a oclusão ou estenose não especificadas de artérias pré-cerebrais
I633,Infarto cerebral devido a trombose de artérias cerebrais
I634,Infarto cerebral devido a embolia de artérias cerebrais
I635,Infarto cerebral devido a oclusão ou estenose não especificadas de artérias cerebrais
I638,Outros infartos cerebrais
I639,Infarto cerebral não especificado
I64,"Acidente vascular cerebral, não especificado como hemorrágico ou isquêmico"
I652,Oclusão e estenose da artéria carótida
I671,Aneurisma cerebral não-roto
I674,Encefalopatia hipertensiva
I691,Seqüelas de hemorragia intracerebral
I693,Seqüelas de infarto cerebral
I694,Seqüelas de acidente vascular cerebral não especificado como hemorrágico ou isquêmico
I701,Aterosclerose da artéria renal
I702,Aterosclerose das artérias das extremidades
I708,Aterosclerose de outras artérias
I709,Aterosclerose generalizada e a não especificada
I710,Aneurisma dissecante da aorta [qualquer porção]
I712,"Aneurisma da aorta torácica, sem menção de ruptura"
I713,"Aneurisma da aorta abdominal, roto"
I714,"Aneurisma da aorta abdominal, sem menção de ruptura"
I716,"Aneurisma da aorta toráco-abdominal, sem menção de ruptura"
I719,"Aneurisma aórtico de localização não especificada, sem menção de ruptura"
I723,Aneurisma de artéria ilíaca
I730,Síndrome de Raynaud
I738,Outras doenças vasculares periféricas especificadas
I739,Doenças vasculares periféricas não especificada
I742,Embolia e trombose de artérias dos membros superiores
I743,Embolia e trombose de artérias dos membros inferiores
I744,Embolia e trombose de artérias dos membros não especificadas
I745,Embolia e trombose da artéria ilíaca
I749,Embolia e trombose de artéria não especificada
I770,Fístula arteriovenosa adquirida
I771,Estenose de artéria
I792,Angiopatia periférica em doenças classificadas em outra parte
I800,Flebite e tromboflebite dos vasos superficiais dos membros inferiores
I801,Flebite e tromboflebite da veia femural
I802,Flebite e tromboflebite de outros vasos profundos dos membros inferiores
I803,"Flebite e tromboflebite dos membros inferiores, não especificada"
I808,Flebite e tromboflebite de outras localizações
I809,Flebite e tromboflebite de localização não especificada
I828,Embolia e trombose de outras veias especificadas
I829,Embolia e trombose venosas de veia não especificada
I830,Varizes dos membros inferiores com úlcera
I831,Varizes dos membros inferiores com inflamação
I832,Varizes dos membros inferiores com úlcera e inflamação
I839,Varizes dos membros inferiores sem úlcera ou inflamação
I840,Hemorróidas internas trombosadas
I841,Hemorróidas internas com outras complicações
I842,Hemorróidas internas sem complicações
I844,Hemorróidas externas com outras complicações
I845,Hemorróidas externas sem complicação
I846,Plicomas hemorroidários residuais
I847,"Hemorróidas trombosadas, não especificadas"
I848,Hemorróidas não especificadas com outras complicações
I849,"Hemorróidas sem complicações, não especificadas"
I861,Varizes escrotais
I862,Varizes pélvicas
I871,Compressão venosa
I872,Insuficiência venosa (crônica) (periférica)
I878,Outros transtornos venosos especificados
I880,Linfadenite mesentérica não específica
I889,Linfadenite não especificada
I899,"Transtornos não-infecciosos dos vasos linfáticos e dos gânglios linfáticos, não especificados"
J039,Amigdalite aguda não especificada
J040,Laringite aguda
J042,Laringotraqueíte aguda
J068,Outras infecções agudas das vias aéreas superiores de localizações múltiplas
J069,Infecção aguda das vias aéreas superiores não especificada
J100,Influenza com pneumonia devida a outro vírus da influenza [gripe] identificado
J110,"Influenza [gripe] com pneumonia, devida a vírus não identificado"
J121,Pneumonia devida a vírus respiratório sincicial
J128,Outras pneumonias virais
J129,Pneumonia viral não especificada
J150,Pneumonia devida à Klebsiella pneumoniae
J152,Pneumonia devida a Staphylococcus
J154,Pneumonia devida a outros estreptococos
J158,Outras pneumonias bacterianas
J159,Pneumonia bacteriana não especificada
J168,Pneumonia devida a outros microorganismos infecciosos especificados
J170,Pneumonia em doenças bacterianas classificadas em outra parte
J178,Pneumonia em outras doenças classificadas em outra parte
J180,Broncopneumonia não especificada
J181,Pneumonia lobar não especificada
J188,Outras pneumonias devidas a microorganismos não especificados
J189,Pneumonia não especificada
J208,Bronquite aguda devida a outros microorganismos especificados
J209,Bronquite aguda não especificada
J210,Bronquiolite aguda devida a vírus sincicial respiratório
J218,Bronquiolite aguda devida a outros microorganismos especificados
J219,Bronquite aguda não especificada
J320,Sinusite maxilar crônica
J323,Sinusite esfenoidal crônica
J324,Pansinusite crônica
J328,Outras sinusites crônicas
J329,Sinusite crônica não especificada
J330,Pólipo da cavidade nasal
J340,"Abscesso, furúnculo e antraz do nariz"
J342,Desvio do septo nasal
J343,Hipertrofia dos cornetos nasais
J348,Outros transtornos especificados do nariz e dos seios paranasais
J350,Amigdalite crônica
J351,Hipertrofia das amígdalas
J352,Hipertrofia das adenóides
J353,Hipertrofia das amígdalas com hipertrofia das adenóides
J358,Outras doenças crônicas das amígdalas e das adenóides
J359,Doenças das amígdalas e das adenóides não especificadas
J36,Abscesso periamigdaliano
J380,Paralisia das cordas vocais e da laringe
J381,Pólipo das cordas vocais e da laringe
J390,Abscesso retrofaríngeo e parafaríngeo
J391,Outros abscessos da faringe
J40,Bronquite não especificada como aguda ou crônica
J410,Bronquite crônica simples
J42,Bronquite crônica não especificada
J430,Síndrome de MacLeod
J431,Enfisema panlobular
J440,Doença pulmonar obstrutiva crônica com infecção respiratória aguda do trato respiratório inferior
J441,Doença pulmonar obstrutiva crônica com exacerbação aguda não especificada
J448,Outras formas especificadas de doença pulmonar obstrutiva crônica
J449,Doença pulmonar obstrutiva crônica não especificada
J450,Asma predominantemente alérgica
J458,Asma mista
J459,Asma não especificada
J46,Estado de mal asmático
J47,Bronquectasia
J690,Pneumonite devida a alimento ou vômito
J80,Síndrome do desconforto respiratório do adulto
J81,"Edema pulmonar, não especificado de outra forma"
J841,Outras doenças pulmonares intersticiais com fibrose
J849,Doença pulmonar intersticial não especificadas
J869,Piotórax sem fístula
J90,Derrame pleural não classificado em outra parte
J91,Derrame pleural em afecções classificadas em outra parte
J930,"Pneumotórax de tensão, espontâneo"
J931,Outras formas de pneumotórax espontâneo
J938,"Outros tipos de pneumotórax, especificados"
J939,Pneumotórax não especificado
J942,Hemotórax
J950,Mau funcionamento de traqueostomia
J955,Estenose subglótica pós-procedimento
J958,Outros transtornos respiratórios pós-procedimentos
J960,Insuficiência respiratória aguda
J961,Insuficiência respiratória crônica
J969,Insuficiência respiratória não especificada
J980,Outras doenças dos brônquios não classificadas em outra parte
J984,Outros transtornos pulmonares
J988,Outros transtornos respiratórios especificados
J989,Transtorno respiratório não especificados
J998,Transtornos respiratórios em outras doenças classificadas em outra parte
K010,Dentes inclusos
K020,Cáries limitadas ao esmalte
K021,Cáries da dentina
K028,Outras cáries dentárias
K047,Abscesso periapical sem fístula
K048,Cisto radicular
K056,"Doença periodontal, sem outra especificação"
K069,Transtorno da gengiva e do rebordo alveolar sem dentes sem outra especificação
K071,Anomalias da relação entre a mandíbula com a base do crânio
K072,Anomalias da relação entre as arcadas dentárias
K090,Cistos odontogênicos de desenvolvimento
K102,Afecções inflamatórias dos maxilares
K108,Outras doenças especificadas dos maxilares
K118,Outras doenças das glândulas salivares
K122,Celulite e abscesso da boca
K137,Outras lesões e as não especificadas da mucosa oral
K20,Esofagite
K210,Doença de refluxo gastroesofágico com esofagite
K219,Doença de refluxo gastroesofágico sem esofagite
K220,Acalásia do cárdia
K222,Obstrução do esôfago
K224,Discinesia do esôfago
K229,"Doença do esôfago, sem outra especificação"
K231,Megaesôfago na doença de Chagas
K250,Úlcera gástrica - aguda com hemorragia
K251,Úlcera gástrica - aguda com perfuração
K259,"Úlcera gástrica - não especificada como aguda ou crônica, sem hemorragia ou perfuração"
K291,Outras gastrites agudas
K293,Gastrite superficial crônica
K296,Outras gastrites
K297,Gastrite não especificada
K299,"Gastroduodenite, sem outra especificação"
K30,Dispepsia
K310,Dilatação aguda do estômago
K318,Outras doenças especificadas do estômago e do duodeno
K319,"Doenças do estômago e do duodeno, sem outra especificação"
K350,Apendicite aguda com peritonite generalizada
K351,Apendicite aguda com abscesso peritonial
K359,Apendicite aguda sem outra especificação
K36,Outras formas de apendicite
K37,"Apendicite, sem outras especificações"
K388,Outras doenças especificadas do apêndice
K389,"Doença do apêndice, sem outra especificação"
K400,"Hérnia inguinal bilateral, com obstrução, sem gangrena"
K401,"Hérnia inguinal bilateral, com gangrena"
K402,"Hérnia inguinal bilateral, sem obstrução ou gangrena"
K403,"Hérnia inguinal unilateral ou não especificada, com obstrução sem gangrena"
K404,"Hérnia inguinal unilateral ou não especificada, com gangrena"
K409,"Hérnia inguinal unilateral ou não especificada, sem obstrução ou gangrena"
K411,"Hérnia femoral bilateral, com gangrena"
K419,"Hérnia femoral unilateral ou não especificada, sem obstrução ou gangrena"
K420,"Hérnia umbilical com obstrução, sem gangrena"
K421,Hérnia umbilical com gangrena
K429,Hérnia umbilical sem obstrução ou gangrena
K430,"Hérnia ventral com obstrução, sem gangrena"
K431,Hérnia ventral com gangrena
K439,Hérnia ventral sem obstrução ou gangrena
K458,"Outras hérnias abdominais especificadas, sem obstrução ou gangrena"
K460,"Hérnia abdominal não especificada, com obstrução, sem gangrena"
K461,Hérnia abdominal não especificada com gangrena
K469,"Hérnia abdominal não especificada, sem obstrução ou gangrena"
K500,Doença de Crohn do intestino delgado
K501,Doença de Crohn do intestino grosso
K509,Doença de Crohn de localização não especificada
K510,Enterocolite ulcerativa (crônica)
K519,"Colite ulcerativa, sem outra especificação"
K522,Gastroenterite e colite alérgicas ou ligadas à dieta
K529,"Gastroenterite e colite não-infecciosas, não especificadas"
K550,Transtornos vasculares agudos do intestino
K560,Íleo paralítico
K562,Volvo
K564,Outras obstruções do intestino
K565,Aderências intestinais (bridas) com obstrução
K566,"Outras formas de obstrução intestinal, e as não especificadas"
K571,Doença diverticular do intestino delgado sem perfuração ou abscesso
K572,Doença diverticular do intestino grosso com perfuração e abscesso
K573,Doença diverticular do intestino grosso sem perfuração ou abscesso
K578,"Doença diverticular do intestino, de localização não especificada, com perfuração e abscesso"
K579,"Doença diverticular do intestino, de localização não especificada, sem perfuração ou abscesso"
K590,Constipação
K591,Diarréia funcional
K598,Outros transtornos funcionais especificados do intestino
K599,"Transtorno intestinal funcional, não especificado"
K600,Fissura anal aguda
K601,Fissura anal crônica
K603,Fístula anal
K605,Fístula anorretal
K610,Abscesso anal
K612,Abscesso anorretal
K620,Pólipo anal
K623,Prolapso retal
K625,Hemorragia do ânus e do reto
K630,Abscesso do intestino
K631,Perfuração do intestino (não-traumática)
K632,Fístula do intestino
K635,Pólipo do cólon
K638,Outras doenças especificadas do intestino
K639,"Doença do intestino, sem outra especificação"
K650,Peritonite aguda
K658,Outras peritonites
K659,"Peritonite, sem outras especificações"
K660,Aderências peritoniais
K668,Outras afecções especificadas do peritônio
K703,Cirrose hepática alcoólica
K704,Insuficiência hepática alcoólica
K720,Insuficiência hepática aguda e subaguda
K721,Insuficiência hepática crônica
K729,"Insuficiência hepática, sem outras especificações"
K740,Fibrose hepática
K746,Outras formas de cirrose hepática e as não especificadas
K750,Abscesso hepático
K754,Hepatite autoimune
K766,Hipertensão portal
K768,Outras doenças especificadas do fígado
K769,"Doença hepática, sem outra especificação"
K800,Calculose da vesícula biliar com colicistite aguda
K801,Calculose da vesícula biliar com outras formas de colecistite
K802,Calculose da vesícula biliar sem colecistite
K803,Calculose de via biliar com colangite
K804,Calculose de via biliar com colecistite
K805,Calculose de via biliar sem colangite ou colecistite
K808,Outras colelitíases
K810,Colecistite aguda
K811,Colecistite crônica
K818,Outras colecistites
K819,"Colecistite, sem outra especificação"
K828,Outras doenças especificadas da vesícula biliar
K829,"Doença da vesícula biliar, sem outra especificação"
K830,Colangite
K831,Obstrução de via biliar
K835,Cisto biliar
K838,Outras doenças especificadas das vias biliares
K839,"Doença das vias biliares, sem outra especificação"
K850,Pancreatite aguda idiopática
K851,Pancreatite aguda biliar
K852,Pancreatite aguda induzida por álcool
K858,Outras pancreatites agudas
K859,"Pancreatite aguda, não especificada"
K861,Outras pancreatites crônicas
K868,Outras doenças especificadas do pâncreas
K869,"Doença do pâncreas, sem outra especificação"
K870,Transtornos da vesícula biliar e das vias biliares em doenças classificadas em outra parte
K871,Transtornos do pâncreas em doenças classificadas em outra parte
K900,Doença celíaca
K902,Síndrome da alça cega não classificada em outra parte
K908,Outras formas de má-absorção intestinal
K912,Má-absorção pós-cirúrgica não classificada em outra parte
K918,"Outros transtornos do aparelho digestivo, pós-cirúrgicos, não classificados em outra parte"
K919,Transtorno do aparelho digestivo pós procedimento
K920,Hematêmese
K921,Melena
K922,"Hemorragia gastrointestinal, sem outra especificação"
K928,Outras doenças especificadas do aparelho digestivo
K929,"Doença do aparelho digestivo, sem outra especificação"
K938,Transtornos de outros órgãos digestivos especificados em doenças classificadas em outra parte
L020,"Abscesso cutâneo, furúnculo e antraz da face"
L021,"Abscesso cutâneo, furúnculo e antraz do pescoço"
L022,"Abscesso cutâneo, furúnculo e antraz do tronco"
L024,"Abscesso cutâneo, furúnculo e antraz do(s) membro(s)"
L028,"Abscesso cutâneo, furúnculo e antraz de outras localizações"
L029,"Abscesso cutâneo, furúnculo e antraz de localização não especificada"
L030,Celulite de dedos das mãos e dos pés
L031,Celulite de outras partes do(s) membro(s)
L032,Celulite da face
L033,Celulite do tronco
L038,Celulite de outros locais
L039,Celulite não especificada
L050,Cisto pilonidal com abscesso
L059,Cisto pilonidal sem abscesso
L080,Piodermite
L088,"Outras infecções localizadas, especificadas, da pele e do tecido subcutâneo"
L089,"Infecção localizada da pele e do tecido subcutâneo, não especificada"
L100,Pênfigo vulgar
L102,Pênfigo foliáceo
L123,Epidermólise bolhosa adquirida
L209,"Dermatite atópica, não especificada"
L500,Urticária alérgica
L508,Outras urticárias
L570,Ceratose actínica
L600,Unha encravada
L720,Cisto epidérmico
L721,Cisto triquilemal
L728,Outras formas de cistos foliculares da pele e do tecido subcutâneo
L729,"Cisto folicular, não especificado da pele e do tecido subcutâneo"
L819,"Transtorno da pigmentação, não especificado"
L82,Ceratose seborréica
L89,Úlcera de decúbito
L900,Líquen escleroso e atrófico
L905,Cicatrizes e fibrose cutânea
L908,Outras afecções atróficas da pele
L909,"Afecções atróficas da pele, não especificadas"
L910,Cicatriz quelóide
L918,Outras afecções hipertróficas da pele
L919,"Afecções hipertróficas da pele, não especificadas"
L928,Outras afecções granulomatosas da pele e do tecido subcutâneo
L932,Outras formas de lúpus eritematoso localizado
L940,Esclerodermia localizada [morféia]
L948,"Outras afecções localizadas do tecido conjuntivo, especificadas"
L949,"Afecções localizadas do tecido conjuntivo, não especificadas"
L97,Úlcera dos membros inferiores não classificada em outra parte
L980,Granuloma piogênico
L984,"Úlcera crônica da pele, não classificada em outra parte"
L986,Outras afecções infiltrativas da pele e do tecido subcutâneo
L988,Outras afecções especificadas da pele e do tecido subcutâneo
L989,"Afecções da pele e do tecido subcutâneo, não especificados"
L998,Outras afecções especificadas da pele e do tecido subcutâneo em doenças classificadas em outra parte
M000,Artrite e pioliartrite estafilocócicas
M002,Outras artrites e poliartrites estreptocócicas
M009,"Artrite piogênica, não especificada"
M028,Outras artropatias reacionais
M058,Outras artrites reumatóides soro-positivas
M059,Artrite reumatóide soro-positiva não especificada
M064,Poliartropatia inflamatória
M069,Artrite reumatóide não especificada
M128,Outras artropatias específicas não classificadas em outra parte
M160,Coxartrose primária bilateral
M161,Outras coxartroses primárias
M167,Outras coxartroses secundárias
M169,Coxartrose não especificada
M170,Gonartrose primária bilateral
M171,Outras gonartroses primárias
M179,Gonartrose não especificada
M190,Artrose primária de outras articulações
M191,Artrose pós-traumática de outras articulações
M199,Artrose não especificada
M200,Deformidade(s) do(s) dedo(s) das mãos
M201,Hallux valgo (adquirido)
M202,Hallux rigidus
M214,Pé chato [pé plano] (adquirido)
M219,Deformidade adquirida não especificada de membro
M230,Menisco cístico
M231,Menisco discóide (congênito)
M232,Transtorno do menisco devido à ruptura ou lesão antiga
M233,Outros transtornos do menisco
M235,Instabilidade crônica do joelho
M236,Outras rupturas espontâneas de ligamento(s) do joelho
M238,Outros transtornos internos do joelho
M242,Transtornos de ligamentos
M244,Deslocamento e subluxação de articulação recidivantes
M245,Contratura articular
M255,Dor articular
M258,Outros transtornos articulares especificados
M259,Transtorno articular não especificado
M311,Microangiopatia trombótica
M313,Granulomatose de Wegener
M318,Outras vasculopatias necrotizantes especificadas
M321,Lúpus eritematoso disseminado [sistêmico] com comprometimento de outros órgãos e sistemas
M328,Outras formas de lúpus eritematoso disseminado [sistêmico]
M329,Lúpus eritematoso disseminado [sistêmico] não especificado
M330,Dermatomiosite juvenil
M331,Outras dermatomiosites
M332,Polimiosite
M339,Dermatopolimiosite não especificada
M340,Esclerose sistêmica progressiva
M350,Síndrome seca [Sjögren]
M411,Escoliose idiopática juvenil
M414,Escoliose neuromuscular
M419,Escoliose não especificada
M464,Discite não especificada
M480,Estenose da coluna vertebral
M500,Transtorno do disco cervical com mielopatia
M501,Transtorno do disco cervical com radiculopatia
M508,Outros transtornos de discos cervicais
M510,Transtornos de discos lombares e de outros discos intervertebrais com mielopatia
M511,Transtornos de discos lombares e de outros discos intervertebrais com radiculopatia
M512,Outros deslocamentos discais intervertebrais especificados
M513,Outra degeneração especificada de disco intervertebral
M518,Outros transtornos especificados de discos intervertebrais
M519,Transtorno não especificado de disco intervertebral
M541,Radiculopatia
M542,Cervicalgia
M543,Ciática
M544,Lumbago com ciática
M545,Dor lombar baixa
M546,Dor na coluna torácica
M629,Transtorno muscular não especificado
M653,Dedo em gatilho
M658,Outras sinovites e tenossinovites
M659,Sinovite e tenossinovite não especificadas
M660,Ruptura de cisto poplíteo
M661,Ruptura de sinóvia
M664,Ruptura espontânea de outros tendões
M665,Ruptura espontânea de tendões não especificados
M679,Transtorno não especificado da sinóvia e do tendão
M713,Outros cistos de bolsa sinovial
M720,Fibromatose de fáscia palmar [Dupuytren]
M751,Síndrome do manguito rotador
M758,Outras lesões do ombro
M796,Dor em membro
M797,Fibromialgia
M809,Osteoporose não especificada com fratura patológica
M810,Osteoporose pós-menopáusica
M819,Osteoporose não especificada
M840,Defeito de consolidação da fratura
M841,Ausência de consolidação da fratura [pseudo-artrose]
